City,Year,PM2.5,PM10,NO2,NH3,CO,SO2,O3,AQI
Ahmedabad,2015,144.36,95.68,30.69,15.85,15.82,66.39,27.34,378.0
Ahmedabad,2015,85.03,95.68,26.7,15.85,3.3,59.16,35.89,415.0
Ahmedabad,2015,134.6,95.68,26.27,15.85,5.9,34.53,7.0,118.0
Ahmedabad,2015,61.06,95.68,14.03,15.85,3.52,8.08,19.54,126.0
Ahmedabad,2015,39.42,95.68,19.56,15.85,5.28,17.66,31.3,175.0
Ahmedabad,2015,111.86,95.68,22.51,15.85,3.89,15.84,31.23,226.0
Ahmedabad,2015,58.37,95.68,21.71,15.85,5.74,25.9,43.92,244.0
Ahmedabad,2015,95.37,95.68,26.23,15.85,18.01,13.59,41.64,315.0
Ahmedabad,2015,141.3,95.68,36.88,15.85,30.8,41.06,37.66,678.0
Ahmedabad,2015,106.68,95.68,46.38,15.85,19.91,31.56,48.49,774.0
Ahmedabad,2015,109.48,95.68,20.27,15.85,4.3,46.6,31.34,285.0
Ahmedabad,2015,126.04,95.68,20.18,15.85,6.99,79.56,28.71,321.0
Ahmedabad,2015,71.22,95.68,21.32,15.85,16.73,50.09,28.39,358.0
Ahmedabad,2015,97.87,95.68,17.96,15.85,6.3,13.85,34.16,357.0
Ahmedabad,2015,63.38,95.68,13.28,15.85,3.44,24.79,43.62,189.0
Ahmedabad,2015,75.29,95.68,14.29,15.85,3.35,76.05,60.71,118.0
Ahmedabad,2015,80.9,95.68,18.62,15.85,5.7,65.44,22.8,214.0
Ahmedabad,2015,103.29,95.68,19.82,15.85,4.55,85.42,22.18,253.0
Ahmedabad,2015,107.5,95.68,15.56,15.85,5.29,74.37,10.12,239.0
Ahmedabad,2015,161.14,95.68,14.77,15.85,3.11,118.35,59.73,118.0
Ahmedabad,2015,102.58,95.68,12.74,15.85,3.88,41.94,26.89,118.0
Ahmedabad,2015,138.42,95.68,16.7,15.85,5.05,77.74,27.18,300.0
Ahmedabad,2015,129.04,95.68,14.86,15.85,5.69,78.27,18.67,317.0
Ahmedabad,2015,96.65,95.68,15.9,15.85,4.67,39.41,11.83,240.0
Ahmedabad,2015,126.77,95.68,23.93,15.85,15.69,93.18,36.71,344.0
Ahmedabad,2015,106.15,95.68,23.02,15.85,13.12,65.95,81.6,503.0
Ahmedabad,2015,86.31,95.68,10.5,15.85,2.69,50.13,90.54,308.0
Ahmedabad,2015,83.99,95.68,0.08,15.85,2.73,34.06,69.57,227.0
Ahmedabad,2015,65.11,95.68,4.58,15.85,3.14,22.27,32.26,120.0
Ahmedabad,2015,51.03,95.68,20.47,15.85,6.24,15.5,31.44,158.0
Ahmedabad,2015,38.73,95.68,19.28,15.85,8.0,20.13,25.7,177.0
Ahmedabad,2015,61.12,95.68,17.82,15.85,9.94,39.69,25.9,201.0
Ahmedabad,2015,58.44,95.68,17.24,15.85,10.68,54.69,18.89,211.0
Ahmedabad,2015,61.49,95.68,16.69,15.85,11.44,42.66,18.2,221.0
Ahmedabad,2015,65.39,95.68,16.08,15.85,12.3,27.96,22.35,233.0
Ahmedabad,2015,100.92,95.68,18.9,15.85,20.42,31.9,22.84,481.0
Ahmedabad,2015,97.48,95.68,30.02,15.85,5.31,36.05,16.26,352.0
Ahmedabad,2015,129.27,95.68,28.33,15.85,14.28,70.13,25.4,327.0
Ahmedabad,2015,129.58,95.68,28.79,15.85,21.23,17.66,34.42,577.0
Ahmedabad,2015,100.57,95.68,18.79,15.85,7.56,38.76,38.83,411.0
Ahmedabad,2015,130.34,95.68,17.43,15.85,7.14,52.07,29.05,212.0
Ahmedabad,2015,53.24,95.68,15.86,15.85,8.05,36.23,21.58,280.0
Ahmedabad,2015,42.0,95.68,18.16,15.85,10.44,17.0,25.5,162.0
Ahmedabad,2015,50.1,95.68,14.9,15.85,9.46,30.67,12.91,118.0
Ahmedabad,2015,83.69,95.68,17.18,15.85,10.89,41.12,35.61,569.0
Ahmedabad,2015,38.88,95.68,16.28,15.85,2.18,26.4,12.47,128.0
Ahmedabad,2015,46.89,95.68,16.17,15.85,2.96,41.96,10.74,129.0
Ahmedabad,2015,70.96,95.68,15.47,15.85,4.12,23.67,16.01,152.0
Ahmedabad,2015,53.66,95.68,14.43,15.85,4.23,14.46,45.64,176.0
Ahmedabad,2015,45.49,95.68,13.73,15.85,4.26,12.85,71.85,167.0
Ahmedabad,2015,60.86,95.68,16.61,15.85,5.27,14.91,41.19,106.0
Ahmedabad,2015,51.93,95.68,17.87,15.85,13.71,15.33,12.88,231.0
Ahmedabad,2015,77.87,95.68,17.12,15.85,6.67,46.82,16.67,327.0
Ahmedabad,2015,57.59,95.68,15.47,15.85,5.6,41.68,25.51,174.0
Ahmedabad,2015,77.22,95.68,15.47,15.85,7.02,71.97,9.56,185.0
Ahmedabad,2015,45.29,95.68,12.74,15.85,7.25,18.64,6.32,179.0
Ahmedabad,2015,103.78,95.68,13.9,15.85,6.36,7.76,15.27,211.0
Ahmedabad,2015,25.14,95.68,18.73,15.85,6.01,38.05,38.52,192.0
Ahmedabad,2015,87.03,95.68,17.88,15.85,8.05,23.84,48.22,310.0
Ahmedabad,2015,89.6,95.68,19.84,15.85,6.59,48.05,44.78,223.0
Ahmedabad,2015,80.69,95.68,16.07,15.85,6.86,39.85,32.65,192.0
Ahmedabad,2015,44.75,95.68,16.53,15.85,7.76,9.89,8.07,191.0
Ahmedabad,2015,38.11,95.68,11.62,15.85,7.41,3.13,6.69,184.0
Ahmedabad,2015,45.5,95.68,15.59,15.85,8.56,0.76,3.82,220.0
Ahmedabad,2015,36.98,95.68,11.52,15.85,8.21,0.52,5.17,215.0
Ahmedabad,2015,43.58,95.68,13.33,15.85,8.26,1.02,7.56,226.0
Ahmedabad,2015,45.49,95.68,14.91,15.85,9.63,0.81,2.94,251.0
Ahmedabad,2015,38.06,95.68,18.57,15.85,8.67,1.05,4.63,216.0
Ahmedabad,2015,45.41,95.68,20.55,15.85,9.35,0.74,4.5,237.0
Ahmedabad,2015,37.71,95.68,16.26,15.85,8.54,0.87,4.6,198.0
Ahmedabad,2015,32.37,95.68,14.36,15.85,7.53,2.17,12.17,195.0
Ahmedabad,2015,34.74,95.68,13.51,15.85,7.59,4.11,12.22,187.0
Ahmedabad,2015,32.56,95.68,13.91,15.85,7.34,4.04,11.85,181.0
Ahmedabad,2015,29.28,95.68,11.68,15.85,7.55,4.01,12.64,179.0
Ahmedabad,2015,20.46,95.68,10.61,15.85,7.15,5.62,12.7,188.0
Ahmedabad,2015,26.07,95.68,11.07,15.85,7.99,4.1,10.57,190.0
Ahmedabad,2015,21.43,95.68,11.16,15.85,7.45,4.99,7.38,185.0
Ahmedabad,2015,11.91,95.68,10.1,15.85,7.34,10.86,5.47,189.0
Ahmedabad,2015,57.75,95.68,9.68,15.85,8.68,12.28,3.06,196.0
Ahmedabad,2015,66.39,95.68,12.79,15.85,8.58,11.09,4.96,201.0
Ahmedabad,2015,62.61,95.68,9.83,15.85,9.15,12.31,6.44,231.0
Ahmedabad,2015,47.5,95.68,9.53,15.85,8.07,13.91,7.28,196.0
Ahmedabad,2015,111.8,95.68,11.51,15.85,9.23,5.27,5.99,220.0
Ahmedabad,2015,30.0,95.68,13.59,15.85,8.87,8.09,6.31,244.0
Ahmedabad,2015,4.66,95.68,10.9,15.85,9.01,7.31,6.38,223.0
Ahmedabad,2015,48.72,95.68,11.94,15.85,9.56,5.72,6.61,230.0
Ahmedabad,2015,49.7,95.68,9.81,15.85,9.43,6.78,6.42,243.0
Ahmedabad,2015,48.1,95.68,9.53,15.85,8.03,9.33,7.6,215.0
Ahmedabad,2015,47.43,95.68,9.45,15.85,8.11,7.93,7.08,199.0
Ahmedabad,2015,51.74,95.68,12.38,15.85,8.91,10.05,5.78,200.0
Ahmedabad,2015,42.68,95.68,11.08,15.85,9.74,10.87,4.44,226.0
Ahmedabad,2015,38.45,95.68,7.8,15.85,10.55,10.28,3.24,241.0
Ahmedabad,2015,46.69,95.68,0.17,15.85,11.48,10.25,5.76,222.0
Ahmedabad,2015,55.27,95.68,0.12,15.85,11.55,12.7,6.55,223.0
Ahmedabad,2015,149.03,95.68,0.16,15.85,11.49,10.07,7.27,248.0
Ahmedabad,2015,86.57,95.68,0.17,15.85,11.47,11.09,6.53,300.0
Ahmedabad,2015,111.77,95.68,0.24,15.85,11.3,7.73,4.67,232.0
Ahmedabad,2015,151.4,95.68,0.36,15.85,10.8,7.8,5.46,330.0
Ahmedabad,2015,51.35,95.68,2.69,15.85,8.0,10.0,5.76,223.0
Ahmedabad,2015,65.37,95.68,8.07,15.85,0.64,16.31,8.02,105.0
Ahmedabad,2015,56.28,95.68,8.02,15.85,0.6,18.93,6.2,101.0
Ahmedabad,2015,48.17,95.68,8.0,15.85,0.65,18.99,7.97,93.0
Ahmedabad,2015,33.56,95.68,7.89,15.85,0.72,11.28,10.18,67.0
Ahmedabad,2015,31.3,95.68,8.1,15.85,0.55,10.29,7.44,60.0
Ahmedabad,2015,48.12,95.68,7.9,15.85,0.67,1.28,6.3,118.0
Ahmedabad,2015,57.11,95.68,8.28,15.85,0.55,14.58,2.6,90.0
Ahmedabad,2015,34.72,95.68,9.73,15.85,0.1,13.62,4.87,78.0
Ahmedabad,2015,29.22,95.68,9.57,15.85,0.06,13.58,5.08,48.0
Ahmedabad,2015,29.79,95.68,8.64,15.85,0.14,15.11,5.34,53.0
Ahmedabad,2015,59.95,95.68,8.78,15.85,0.18,11.52,2.79,91.0
Ahmedabad,2015,19.2,95.68,9.45,15.85,1.52,11.23,4.61,70.0
Ahmedabad,2015,19.52,95.68,11.26,15.85,5.89,11.56,4.4,157.0
Ahmedabad,2015,35.16,95.68,10.89,15.85,5.75,14.7,3.67,158.0
Ahmedabad,2015,33.03,95.68,10.58,15.85,7.01,12.95,3.53,169.0
Ahmedabad,2015,40.95,95.68,10.47,15.85,6.92,19.8,3.38,174.0
Ahmedabad,2015,40.29,95.68,10.52,15.85,6.74,8.27,3.57,173.0
Ahmedabad,2015,41.16,95.68,10.51,15.85,6.91,13.48,3.69,172.0
